;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;A01;FAM;;Unkn;;3253,94991199031;;Unknown;Unassigned;False
;A02;FAM;;Unkn;;3261,71738242786;;Unknown;Unassigned;False
;A03;FAM;;Unkn;;3485,07878705582;;Unknown;Unassigned;False
;A04;FAM;;Unkn;;1797,56485427366;;Unknown;Unassigned;False
;A05;FAM;;Unkn;;1944,28303911524;;Unknown;Unassigned;False
;A06;FAM;;Unkn;;1853,4699175761;;Unknown;Unassigned;False
;A07;FAM;;Unkn;;3357,70005965513;;Unknown;Unassigned;False
;A08;FAM;;Unkn;;3256,21546916617;;Unknown;Unassigned;False
;A09;FAM;;Unkn;;3387,51246343894;;Unknown;Unassigned;False
;A10;FAM;;Unkn;;2733,70969154041;;Unknown;Unassigned;False
;A11;FAM;;Unkn;;2804,57658849117;;Unknown;Unassigned;False
;A12;FAM;;Unkn;;2582,2658514327;;Unknown;Unassigned;False
;B01;FAM;;Unkn;;2975,47118235653;;Unknown;Unassigned;False
;B02;FAM;;Unkn;;3128,71988065168;;Unknown;Unassigned;False
;B03;FAM;;Unkn;;3083,67512153422;;Unknown;Unassigned;False
;B04;FAM;;Unkn;;1573,22507530156;;Unknown;Unassigned;False
;B05;FAM;;Unkn;;1611,86682652538;;Unknown;Unassigned;False
;B06;FAM;;Unkn;;1642,32340599843;;Unknown;Unassigned;False
;B07;FAM;;Unkn;;3068,97639498374;;Unknown;Unassigned;False
;B08;FAM;;Unkn;;2985,3627347935;;Unknown;Unassigned;False
;B09;FAM;;Unkn;;3157,24617615236;;Unknown;Unassigned;False
;B10;FAM;;Unkn;;2581,11829349028;;Unknown;Unassigned;False
;B11;FAM;;Unkn;;2509,03811634408;;Unknown;Unassigned;False
;B12;FAM;;Unkn;;2355,59869058064;;Unknown;Unassigned;False
;C01;FAM;;Unkn;;2824,13796734697;;Unknown;Unassigned;False
;C02;FAM;;Unkn;;2954,58456967184;;Unknown;Unassigned;False
;C03;FAM;;Unkn;;2855,40963647348;;Unknown;Unassigned;False
;C04;FAM;;Unkn;;1425,97179291349;;Unknown;Unassigned;False
;C05;FAM;;Unkn;;1497,71386134114;;Unknown;Unassigned;False
;C06;FAM;;Unkn;;1506,46813019359;;Unknown;Unassigned;False
;C07;FAM;;Unkn;;2890,93249685659;;Unknown;Unassigned;False
;C08;FAM;;Unkn;;2946,23344125743;;Unknown;Unassigned;False
;C09;FAM;;Unkn;;2843,53962550544;;Unknown;Unassigned;False
;C10;FAM;;Unkn;;2346,48520287158;;Unknown;Unassigned;False
;C11;FAM;;Unkn;;2368,94073488125;;Unknown;Unassigned;False
;C12;FAM;;Unkn;;2356,64677432322;;Unknown;Unassigned;False
;D01;FAM;;Unkn;;2449,92976984019;;Unknown;Unassigned;False
;D02;FAM;;Unkn;;2604,90729029546;;Unknown;Unassigned;False
;D03;FAM;;Unkn;;2538,20461397773;;Unknown;Unassigned;False
;D04;FAM;;Unkn;;1201,3320768632;;Unknown;Unassigned;False
;D05;FAM;;Unkn;;1276,77246864742;;Unknown;Unassigned;False
;D06;FAM;;Unkn;;1296,13255293951;;Unknown;Unassigned;False
;D07;FAM;;Unkn;;2480,63726002675;;Unknown;Unassigned;False
;D08;FAM;;Unkn;;2466,43212091198;;Unknown;Unassigned;False
;D09;FAM;;Unkn;;2641,56203944933;;Unknown;Unassigned;False
;D10;FAM;;Unkn;;2063,1850542718;;Unknown;Unassigned;False
;D11;FAM;;Unkn;;2102,75706650663;;Unknown;Unassigned;False
;D12;FAM;;Unkn;;1983,19186121594;;Unknown;Unassigned;False
;E01;FAM;;Unkn;;2126,44663095435;;Unknown;Unassigned;False
;E02;FAM;;Unkn;;2116,9540810733;;Unknown;Unassigned;False
;E03;FAM;;Unkn;;1927,08917525519;;Unknown;Unassigned;False
;E04;FAM;;Unkn;;1187,05302211704;;Unknown;Unassigned;False
;E05;FAM;;Unkn;;1169,72961629646;;Unknown;Unassigned;False
;E06;FAM;;Unkn;;1160,36934014065;;Unknown;Unassigned;False
;E07;FAM;;Unkn;;2145,75120388996;;Unknown;Unassigned;False
;E08;FAM;;Unkn;;2167,41006894976;;Unknown;Unassigned;False
;E09;FAM;;Unkn;;1727,971599982;;Unknown;Unassigned;False
;E10;FAM;;Unkn;;1574,4058342331;;Unknown;Unassigned;False
;E11;FAM;;Unkn;;1320,40561440863;;Unknown;Unassigned;False
;E12;FAM;;Unkn;;1402,44532222257;;Unknown;Unassigned;False
;F01;FAM;;Unkn;;13,8280379269041;;Unknown;Unassigned;False
;F02;FAM;;Unkn;;4,20000687259599;;Unknown;Unassigned;False
;F03;FAM;;Unkn;;-4,63964721862858;;Unknown;Unassigned;False
;F04;FAM;;Unkn;;-0,214000075143031;;Unknown;Unassigned;False
;F05;FAM;;Unkn;;-3,45324200181185;;Unknown;Unassigned;False
;F06;FAM;;Unkn;;-1,16257731433871;;Unknown;Unassigned;False
;F07;FAM;;Unkn;;-2,84331893073941;;Unknown;Unassigned;False
;F08;FAM;;Unkn;;-1,49829731201153;;Unknown;Unassigned;False
;F09;FAM;;Unkn;;-3,84102930801346;;Unknown;Unassigned;False
;F10;FAM;;Unkn;;1,90806575495226;;Unknown;Unassigned;False
;F11;FAM;;Unkn;;1,72801253209618;;Unknown;Unassigned;False
;F12;FAM;;Unkn;;-4,32216162078939;;Unknown;Unassigned;False
;G01;FAM;;Unkn;;-4,09961779031428;;Unknown;Unassigned;False
;G02;FAM;;Unkn;;-3,98299483897272;;Unknown;Unassigned;False
;G03;FAM;;Unkn;;-4,74192545620235;;Unknown;Unassigned;False
;G04;FAM;;Unkn;;133,343791197729;;Unknown;Unassigned;False
;G05;FAM;;Unkn;;-4,07728516536272;;Unknown;Unassigned;False
;G06;FAM;;Unkn;;-3,73761174580459;;Unknown;Unassigned;False
;G07;FAM;;Unkn;;-4,73566878282691;;Unknown;Unassigned;False
;G08;FAM;;Unkn;;-4,04681963821149;;Unknown;Unassigned;False
;G09;FAM;;Unkn;;-5,25198396133783;;Unknown;Unassigned;False
;G10;FAM;;Unkn;;-4,36152160888942;;Unknown;Unassigned;False
;G11;FAM;;Unkn;;-4,20285362196955;;Unknown;Unassigned;False
;G12;FAM;;Unkn;;-4,67801763553352;;Unknown;Unassigned;False
;H01;FAM;;Unkn;;-4,0858525967813;;Unknown;Unassigned;False
;H02;FAM;;Unkn;;-4,95492876442222;;Unknown;Unassigned;False
;H03;FAM;;Unkn;;-4,6046152355294;;Unknown;Unassigned;False
;H04;FAM;;Unkn;;-3,43532573813609;;Unknown;Unassigned;False
;H05;FAM;;Unkn;;-3,92743922914551;;Unknown;Unassigned;False
;H06;FAM;;Unkn;;-5,00573902189899;;Unknown;Unassigned;False
;H07;FAM;;Unkn;;-4,18704102513866;;Unknown;Unassigned;False
;H08;FAM;;Unkn;;-3,69566983530121;;Unknown;Unassigned;False
;H09;FAM;;Unkn;;-1,98078883386397;;Unknown;Unassigned;False
;H10;FAM;;Unkn;;-3,53071986126688;;Unknown;Unassigned;False
;H11;FAM;;Unkn;;-3,90421066169765;;Unknown;Unassigned;False
;H12;FAM;;Unkn;;-5,39811575005824;;Unknown;Unassigned;False
