"species_name","Sample","CDNA_sample"
"Taxus_baccata",1,7.94
"Taxus_baccata",2,13.3
"Salvia_pratensis",3,20.8
"Salvia_pratensis",4,24.4
"Populus_tremula",5,33
"Populus_tremula",6,31.4
"Rumex_acetosa",7,9.76
"Rumex_acetosa",8,10.8
"Carpinus_betulus",9,13.1
"Carpinus_betulus",10,9.14
"Fraxinus_excelsior",11,6.56
"Fraxinus_excelsior",12,22.4
"Picea_abies",13,2.14
"Picea_abies",14,2.22
"Lonicera_xylosteum",15,43
"Lonicera_xylosteum",16,45.8
"Abies_alba",17,5.32
"Abies_alba",18,3.58
"Acer_campestre",19,6.14
"Acer_campestre",20,12.2
"Briza_media",21,224
"Briza_media",22,183
"Rosa_canina",23,73
"Rosa_canina",24,50.8
"Capsella_bursa-pastoris",25,16.6
"Capsella_bursa-pastoris",26,38.8
"Geranium_robertianum",27,18.8
"Geranium_robertianum",28,15
"Rhododendron_ferrugineum",29,6.24
"Rhododendron_ferrugineum",30,3.9
"Lotus_corniculatus",31,71.8
"Lotus_corniculatus",32,65.2
