Rosa_canina,Briza_media,Lotus_corniculatus,Populus_tremula,Acer_campestre,Rhododendron_ferrugineum,Capsella_bursa-pastoris,Fraxinus_excelsior,Carpinus_betulus,Lonicera_xylosteum,Abies_alba,Salvia_pratensis,Geranium_robertianum
5681,1911,2514,2931,3108,4132,3586,2111,2901,1989,2179,843,883
8102,2709,3578,3525,3399,4682,4836,2937,3268,2667,2690,997,1154
11285,4391,4814,4041,6839,6909,7478,4071,4524,3609,4655,1180,1553
6479,2642,2878,2002,3332,3461,4230,2179,2361,1997,2439,757,736
3311,1583,1635,992,2454,1591,2545,1073,1165,1011,2122,269,327
13586,4925,6620,7411,5363,9108,8728,5259,6966,4963,3497,2121,2285
2674,852,1181,1609,974,1614,1460,1100,1414,895,671,552,449
7626,2316,3408,4548,2679,4689,4389,3046,3973,2483,1246,1520,1236
3364,1092,1599,2278,1344,1925,1783,1406,1774,1206,823,763,536
1051,388,627,419,529,588,687,369,434,342,334,113,130
8290,2954,3513,3462,4548,5172,5277,2836,3616,2580,2964,979,1136
13442,4004,5830,7196,5242,9003,8450,5429,6682,4273,3248,2594,1993
9533,3295,4095,4252,4582,6090,5960,3491,4666,2879,3051,1365,1240
14947,5082,6794,7810,7267,10358,9724,5549,7708,4813,4809,2588,2520
6801,1949,2896,4134,2511,4619,3918,2845,3642,2146,1431,1573,1070
1701,577,939,897,808,1095,944,597,812,548,442,336,226
1569,461,700,1152,552,734,768,525,855,474,243,273,231
3177,1034,1421,2500,1290,1617,1542,1008,1796,986,763,599,486
2045,1231,1167,470,1953,813,1925,692,832,599,2269,142,147
